horizonte,posicao_encoder,posicao_relativa_horas,rotulo_posicao,peso_medio
13,5,-42,t-42,0.020788025110960007
13,6,-41,t-41,0.020912321284413338
13,7,-40,t-40,0.020983746275305748
13,8,-39,t-39,0.021022243425250053
13,9,-38,t-38,0.021041490137577057
13,10,-37,t-37,0.021046116948127747
13,11,-36,t-36,0.021038997918367386
13,12,-35,t-35,0.02102026157081127
13,13,-34,t-34,0.02099277265369892
13,14,-33,t-33,0.020960314199328423
13,15,-32,t-32,0.0209305752068758
13,16,-31,t-31,0.020905857905745506
13,17,-30,t-30,0.020888706669211388
13,18,-29,t-29,0.020876724272966385
13,19,-28,t-28,0.020869573578238487
13,20,-27,t-27,0.02086787112057209
13,21,-26,t-26,0.020872320979833603
13,22,-25,t-25,0.02087671495974064
13,23,-24,t-24,0.02087765373289585
13,24,-23,t-23,0.02087332122027874
13,25,-22,t-22,0.02086627669632435
13,26,-21,t-21,0.02085776999592781
13,27,-20,t-20,0.020852169021964073
13,28,-19,t-19,0.020850563421845436
13,29,-18,t-18,0.02085297927260399
13,30,-17,t-17,0.02086034044623375
13,31,-16,t-16,0.020872583612799644
13,32,-15,t-15,0.020887969061732292
13,33,-14,t-14,0.02090834639966488
13,34,-13,t-13,0.020931288599967957
13,35,-12,t-12,0.020953088998794556
13,36,-11,t-11,0.020970365032553673
13,37,-10,t-10,0.020982645452022552
13,38,-9,t-9,0.020991099998354912
13,39,-8,t-8,0.02100255899131298
13,40,-7,t-7,0.021020548418164253
13,41,-6,t-6,0.021047478541731834
13,42,-5,t-5,0.021080724895000458
13,43,-4,t-4,0.021119141951203346
13,44,-3,t-3,0.021163545548915863
13,45,-2,t-2,0.021214010193943977
13,46,-1,t-1,0.021265041083097458
13,47,0,t,0.021312737837433815
14,0,-47,t-47,0.018725328147411346
14,1,-46,t-46,0.019170813262462616
14,2,-45,t-45,0.01975422538816929
14,3,-44,t-44,0.020239565521478653
14,4,-43,t-43,0.020572224631905556
14,5,-42,t-42,0.020783402025699615
14,6,-41,t-41,0.020910736173391342
14,7,-40,t-40,0.020982496440410614
14,8,-39,t-39,0.021021248772740364
14,9,-38,t-38,0.021038701757788658
14,10,-37,t-37,0.02104366011917591
14,11,-36,t-36,0.021038375794887543
14,12,-35,t-35,0.02102186530828476
14,13,-34,t-34,0.020995263010263443
14,14,-33,t-33,0.02096356824040413
14,15,-32,t-32,0.020931709557771683
14,16,-31,t-31,0.020906049758195877
14,17,-30,t-30,0.020887548103928566
14,18,-29,t-29,0.020877152681350708
14,19,-28,t-28,0.020871339365839958
14,20,-27,t-27,0.020869480445981026
14,21,-26,t-26,0.02087240479886532
14,22,-25,t-25,0.02087823860347271
14,23,-24,t-24,0.02088077925145626
14,24,-23,t-23,0.020875969901680946
14,25,-22,t-22,0.02086465433239937
14,26,-21,t-21,0.020852621644735336
14,27,-20,t-20,0.020844023674726486
14,28,-19,t-19,0.020843999460339546
14,29,-18,t-18,0.02085070312023163
14,30,-17,t-17,0.02086123824119568
14,31,-16,t-16,0.020874204114079475
14,32,-15,t-15,0.02089015580713749
14,33,-14,t-14,0.020908303558826447
14,34,-13,t-13,0.020931076258420944
14,35,-12,t-12,0.020954972133040428
14,36,-11,t-11,0.020974742248654366
14,37,-10,t-10,0.02098803035914898
14,38,-9,t-9,0.02099747397005558
14,39,-8,t-8,0.02100641466677189
14,40,-7,t-7,0.021023014560341835
14,41,-6,t-6,0.021048398688435555
14,42,-5,t-5,0.021083006635308266
14,43,-4,t-4,0.021122897043824196
14,44,-3,t-3,0.02116679772734642
14,45,-2,t-2,0.021215561777353287
14,46,-1,t-1,0.021268129348754883
14,47,0,t,0.021317364647984505
15,0,-47,t-47,0.018723532557487488
15,1,-46,t-46,0.019170956686139107
15,2,-45,t-45,0.01975446194410324
15,3,-44,t-44,0.020238274708390236
15,4,-43,t-43,0.020567167550325394
15,5,-42,t-42,0.020776914432644844
15,6,-41,t-41,0.020904922857880592
15,7,-40,t-40,0.020977793261408806
15,8,-39,t-39,0.02101665921509266
15,9,-38,t-38,0.02103472501039505
15,10,-37,t-37,0.021038109436631203
15,11,-36,t-36,0.02103312872350216
15,12,-35,t-35,0.021018611267209053
15,13,-34,t-34,0.02099507860839367
15,14,-33,t-33,0.020965633913874626
15,15,-32,t-32,0.020935798063874245
15,16,-31,t-31,0.020908616483211517
15,17,-30,t-30,0.020888714119791985
15,18,-29,t-29,0.02087618038058281
15,19,-28,t-28,0.020871518179774284
15,20,-27,t-27,0.02087165229022503
15,21,-26,t-26,0.020875059068202972
15,22,-25,t-25,0.02087998390197754
15,23,-24,t-24,0.020884418860077858
15,24,-23,t-23,0.020882833749055862
15,25,-22,t-22,0.020873121917247772
15,26,-21,t-21,0.020858583971858025
15,27,-20,t-20,0.020846586674451828
15,28,-19,t-19,0.020841289311647415
15,29,-18,t-18,0.02084518037736416
15,30,-17,t-17,0.020855721086263657
15,31,-16,t-16,0.020869361236691475
15,32,-15,t-15,0.02088528871536255
15,33,-14,t-14,0.02090420573949814
15,34,-13,t-13,0.020925063639879227
15,35,-12,t-12,0.020948654040694237
15,36,-11,t-11,0.020970935001969337
15,37,-10,t-10,0.020987991243600845
15,38,-9,t-9,0.021000506356358528
15,39,-8,t-8,0.02101229690015316
15,40,-7,t-7,0.021027550101280212
15,41,-6,t-6,0.021051615476608276
15,42,-5,t-5,0.02108469232916832
15,43,-4,t-4,0.02112627774477005
15,44,-3,t-3,0.021172795444726944
15,45,-2,t-2,0.021222379058599472
15,46,-1,t-1,0.0212739035487175
15,47,0,t,0.02132541686296463
16,0,-47,t-47,0.01872844435274601
16,1,-46,t-46,0.019173940643668175
16,2,-45,t-45,0.01975301094353199
16,3,-44,t-44,0.020230457186698914
16,4,-43,t-43,0.02055591717362404
16,5,-42,t-42,0.020764028653502464
16,6,-41,t-41,0.020894421264529228
16,7,-40,t-40,0.020970847457647324
16,8,-39,t-39,0.021013544872403145
16,9,-38,t-38,0.02103383094072342
16,10,-37,t-37,0.021039143204689026
16,11,-36,t-36,0.02103349193930626
16,12,-35,t-35,0.02101943828165531
16,13,-34,t-34,0.020997200161218643
16,14,-33,t-33,0.02096913382411003
16,15,-32,t-32,0.020939942449331284
16,16,-31,t-31,0.020913999527692795
16,17,-30,t-30,0.02089262381196022
16,18,-29,t-29,0.020879248157143593
16,19,-28,t-28,0.020872781053185463
16,20,-27,t-27,0.020873360335826874
16,21,-26,t-26,0.020876895636320114
16,22,-25,t-25,0.02088044211268425
16,23,-24,t-24,0.020882003009319305
16,24,-23,t-23,0.020879607647657394
16,25,-22,t-22,0.02086990885436535
16,26,-21,t-21,0.020854249596595764
16,27,-20,t-20,0.020839406177401543
16,28,-19,t-19,0.02083364501595497
16,29,-18,t-18,0.020836899057030678
16,30,-17,t-17,0.02084980718791485
16,31,-16,t-16,0.02086697518825531
16,32,-15,t-15,0.02088646963238716
16,33,-14,t-14,0.020907389000058174
16,34,-13,t-13,0.02092990279197693
16,35,-12,t-12,0.02095204032957554
16,36,-11,t-11,0.02097403071820736
16,37,-10,t-10,0.02099258452653885
16,38,-9,t-9,0.02100694738328457
16,39,-8,t-8,0.02101983316242695
16,40,-7,t-7,0.021036233752965927
16,41,-6,t-6,0.021058036014437675
16,42,-5,t-5,0.02108941413462162
16,43,-4,t-4,0.021128742024302483
16,44,-3,t-3,0.021175505593419075
16,45,-2,t-2,0.021225284785032272
16,46,-1,t-1,0.02127549797296524
16,47,0,t,0.021323736757040024
17,0,-47,t-47,0.01872275397181511
17,1,-46,t-46,0.019169753417372704
17,2,-45,t-45,0.019752152264118195
17,3,-44,t-44,0.020231958478689194
17,4,-43,t-43,0.020556332543492317
17,5,-42,t-42,0.02076338604092598
17,6,-41,t-41,0.020891224965453148
17,7,-40,t-40,0.020966727286577225
17,8,-39,t-39,0.021008778363466263
17,9,-38,t-38,0.021028287708759308
17,10,-37,t-37,0.021031897515058517
17,11,-36,t-36,0.021025337278842926
17,12,-35,t-35,0.02100968360900879
17,13,-34,t-34,0.020988475531339645
17,14,-33,t-33,0.02096335031092167
17,15,-32,t-32,0.020937910303473473
17,16,-31,t-31,0.020915023982524872
17,17,-30,t-30,0.020897023379802704
17,18,-29,t-29,0.02088433876633644
17,19,-28,t-28,0.0208786241710186
17,20,-27,t-27,0.020878134295344353
17,21,-26,t-26,0.020881813019514084
17,22,-25,t-25,0.020884959027171135
17,23,-24,t-24,0.020884789526462555
17,24,-23,t-23,0.020879648625850677
17,25,-22,t-22,0.020870478823781013
17,26,-21,t-21,0.020857326686382294
17,27,-20,t-20,0.02084362879395485
17,28,-19,t-19,0.02083607390522957
17,29,-18,t-18,0.020838433876633644
17,30,-17,t-17,0.020848320797085762
17,31,-16,t-16,0.02086385153234005
17,32,-15,t-15,0.020882410928606987
17,33,-14,t-14,0.020902710035443306
17,34,-13,t-13,0.02092401497066021
17,35,-12,t-12,0.020946061238646507
17,36,-11,t-11,0.02096620947122574
17,37,-10,t-10,0.020985271781682968
17,38,-9,t-9,0.02100284956395626
17,39,-8,t-8,0.021020065993070602
17,40,-7,t-7,0.021040504798293114
17,41,-6,t-6,0.02106652781367302
17,42,-5,t-5,0.021098552271723747
17,43,-4,t-4,0.021138552576303482
17,44,-3,t-3,0.021184461191296577
17,45,-2,t-2,0.021234557032585144
17,46,-1,t-1,0.021284809336066246
17,47,0,t,0.0213319044560194
18,0,-47,t-47,0.018728120252490044
18,1,-46,t-46,0.019171888008713722
18,2,-45,t-45,0.019750414416193962
18,3,-44,t-44,0.020226778462529182
18,4,-43,t-43,0.020547833293676376
18,5,-42,t-42,0.020751873031258583
18,6,-41,t-41,0.02087973617017269
18,7,-40,t-40,0.0209558866918087
18,8,-39,t-39,0.021000895649194717
18,9,-38,t-38,0.021023735404014587
18,10,-37,t-37,0.021030204370617867
18,11,-36,t-36,0.021024461835622787
18,12,-35,t-35,0.021008795127272606
18,13,-34,t-34,0.020986156538128853
18,14,-33,t-33,0.020961947739124298
18,15,-32,t-32,0.020938558503985405
18,16,-31,t-31,0.020917508751153946
18,17,-30,t-30,0.02090020664036274
18,18,-29,t-29,0.020887818187475204
18,19,-28,t-28,0.02088034339249134
18,20,-27,t-27,0.020879438146948814
18,21,-26,t-26,0.02088250406086445
18,22,-25,t-25,0.020886560901999474
18,23,-24,t-24,0.02088579349219799
18,24,-23,t-23,0.020877843722701073
18,25,-22,t-22,0.020864851772785187
18,26,-21,t-21,0.020851245149970055
18,27,-20,t-20,0.020838992670178413
18,28,-19,t-19,0.020832212641835213
18,29,-18,t-18,0.020834503695368767
18,30,-17,t-17,0.020846163854002953
18,31,-16,t-16,0.020862286910414696
18,32,-15,t-15,0.020883066579699516
18,33,-14,t-14,0.0209061112254858
18,34,-13,t-13,0.020929740741848946
18,35,-12,t-12,0.02095220237970352
18,36,-11,t-11,0.02097221463918686
18,37,-10,t-10,0.0209887083619833
18,38,-9,t-9,0.02100604772567749
18,39,-8,t-8,0.021025102585554123
18,40,-7,t-7,0.021047556772828102
18,41,-6,t-6,0.021074533462524414
18,42,-5,t-5,0.0211067795753479
18,43,-4,t-4,0.021143915131688118
18,44,-3,t-3,0.021188586950302124
18,45,-2,t-2,0.021237477660179138
18,46,-1,t-1,0.02128814533352852
18,47,0,t,0.02133442834019661
19,0,-47,t-47,0.01872166432440281
19,1,-46,t-46,0.019165219739079475
19,2,-45,t-45,0.019744310528039932
19,3,-44,t-44,0.020223509520292282
19,4,-43,t-43,0.020548492670059204
19,5,-42,t-42,0.020753929391503334
19,6,-41,t-41,0.020880533382296562
19,7,-40,t-40,0.02095617912709713
19,8,-39,t-39,0.020999794825911522
19,9,-38,t-38,0.021022651344537735
19,10,-37,t-37,0.021029174327850342
19,11,-36,t-36,0.021023182198405266
19,12,-35,t-35,0.021006261929869652
19,13,-34,t-34,0.02098257653415203
19,14,-33,t-33,0.020956389605998993
19,15,-32,t-32,0.020933181047439575
19,16,-31,t-31,0.02091400884091854
19,17,-30,t-30,0.020899197086691856
19,18,-29,t-29,0.02088874951004982
19,19,-28,t-28,0.02088356949388981
19,20,-27,t-27,0.020882757380604744
19,21,-26,t-26,0.02088676206767559
19,22,-25,t-25,0.020890774205327034
19,23,-24,t-24,0.020891044288873672
19,24,-23,t-23,0.020883068442344666
19,25,-22,t-22,0.020867783576250076
19,26,-21,t-21,0.020850561559200287
19,27,-20,t-20,0.02083801105618477
19,28,-19,t-19,0.020833248272538185
19,29,-18,t-18,0.020836101844906807
19,30,-17,t-17,0.020846635103225708
19,31,-16,t-16,0.020862862467765808
19,32,-15,t-15,0.020882006734609604
19,33,-14,t-14,0.02090415544807911
19,34,-13,t-13,0.020927319303154945
19,35,-12,t-12,0.020949451252818108
19,36,-11,t-11,0.02096874825656414
19,37,-10,t-10,0.02098528854548931
19,38,-9,t-9,0.02100096084177494
19,39,-8,t-8,0.021020127460360527
19,40,-7,t-7,0.021044783294200897
19,41,-6,t-6,0.021074730902910233
19,42,-5,t-5,0.021109867841005325
19,43,-4,t-4,0.021150201559066772
19,44,-3,t-3,0.021195121109485626
19,45,-2,t-2,0.021245034411549568
19,46,-1,t-1,0.021295925602316856
19,47,0,t,0.02134380303323269
20,0,-47,t-47,0.018725557252764702
20,1,-46,t-46,0.01916816458106041
20,2,-45,t-45,0.019743161275982857
20,3,-44,t-44,0.020217835903167725
20,4,-43,t-43,0.020541375502943993
20,5,-42,t-42,0.02074764482676983
20,6,-41,t-41,0.020873654633760452
20,7,-40,t-40,0.020947318524122238
20,8,-39,t-39,0.020990198478102684
20,9,-38,t-38,0.02101297862827778
20,10,-37,t-37,0.021021723747253418
20,11,-36,t-36,0.021018115803599358
20,12,-35,t-35,0.02100292220711708
20,13,-34,t-34,0.0209788978099823
20,14,-33,t-33,0.020951606333255768
20,15,-32,t-32,0.0209271851927042
20,16,-31,t-31,0.020910071209073067
20,17,-30,t-30,0.020899347960948944
20,18,-29,t-29,0.020892919972538948
20,19,-28,t-28,0.020889541134238243
20,20,-27,t-27,0.020889393985271454
20,21,-26,t-26,0.020892076194286346
20,22,-25,t-25,0.02089635282754898
20,23,-24,t-24,0.0208966713398695
20,24,-23,t-23,0.02089047059416771
20,25,-22,t-22,0.020874671638011932
20,26,-21,t-21,0.020853785797953606
20,27,-20,t-20,0.020836597308516502
20,28,-19,t-19,0.020830940455198288
20,29,-18,t-18,0.020835572853684425
20,30,-17,t-17,0.020846836268901825
20,31,-16,t-16,0.020862029865384102
20,32,-15,t-15,0.020880915224552155
20,33,-14,t-14,0.020901978015899658
20,34,-13,t-13,0.020926011726260185
20,35,-12,t-12,0.02094964310526848
20,36,-11,t-11,0.020970044657588005
20,37,-10,t-10,0.020985905081033707
20,38,-9,t-9,0.021000443026423454
20,39,-8,t-8,0.02101762965321541
20,40,-7,t-7,0.021043406799435616
20,41,-6,t-6,0.02107730135321617
20,42,-5,t-5,0.021116258576512337
20,43,-4,t-4,0.021158521994948387
20,44,-3,t-3,0.021203812211751938
20,45,-2,t-2,0.02125144936144352
20,46,-1,t-1,0.021301817148923874
20,47,0,t,0.021349117159843445
21,0,-47,t-47,0.0187233854085207
21,1,-46,t-46,0.01916860044002533
21,2,-45,t-45,0.019746551290154457
21,3,-44,t-44,0.020220743492245674
21,4,-43,t-43,0.020540963858366013
21,5,-42,t-42,0.020745886489748955
21,6,-41,t-41,0.020873229950666428
21,7,-40,t-40,0.020947663113474846
21,8,-39,t-39,0.020989546552300453
21,9,-38,t-38,0.021011624485254288
21,10,-37,t-37,0.021018968895077705
21,11,-36,t-36,0.021015970036387444
21,12,-35,t-35,0.021001646295189857
21,13,-34,t-34,0.020978495478630066
21,14,-33,t-33,0.020950546488165855
21,15,-32,t-32,0.020924650132656097
21,16,-31,t-31,0.020904134958982468
21,17,-30,t-30,0.02089223824441433
21,18,-29,t-29,0.020886970683932304
21,19,-28,t-28,0.02088642492890358
21,20,-27,t-27,0.020889082923531532
21,21,-26,t-26,0.02089480124413967
21,22,-25,t-25,0.020899929106235504
21,23,-24,t-24,0.020902374759316444
21,24,-23,t-23,0.020897330716252327
21,25,-22,t-22,0.02088438905775547
21,26,-21,t-21,0.02086462825536728
21,27,-20,t-20,0.020844629034399986
21,28,-19,t-19,0.020833007991313934
21,29,-18,t-18,0.02083454094827175
21,30,-17,t-17,0.020846301689743996
21,31,-16,t-16,0.020862309262156487
21,32,-15,t-15,0.020880848169326782
21,33,-14,t-14,0.02090219222009182
21,34,-13,t-13,0.020924372598528862
21,35,-12,t-12,0.02094745635986328
21,36,-11,t-11,0.02096816897392273
21,37,-10,t-10,0.020984910428524017
21,38,-9,t-9,0.020999090746045113
21,39,-8,t-8,0.02101532369852066
21,40,-7,t-7,0.021037403494119644
21,41,-6,t-6,0.021069590002298355
21,42,-5,t-5,0.021110016852617264
21,43,-4,t-4,0.021155621856451035
21,44,-3,t-3,0.021204570308327675
21,45,-2,t-2,0.021256038919091225
21,46,-1,t-1,0.021306918933987617
21,47,0,t,0.021355822682380676
22,0,-47,t-47,0.01872941479086876
22,1,-46,t-46,0.019174830988049507
22,2,-45,t-45,0.01975359208881855
22,3,-44,t-44,0.020226312801241875
22,4,-43,t-43,0.020542703568935394
22,5,-42,t-42,0.02074199728667736
22,6,-41,t-41,0.020866835489869118
22,7,-40,t-40,0.020940789952874184
22,8,-39,t-39,0.020982282236218452
22,9,-38,t-38,0.02100270241498947
22,10,-37,t-37,0.021009717136621475
22,11,-36,t-36,0.021007124334573746
22,12,-35,t-35,0.020995549857616425
22,13,-34,t-34,0.020974930375814438
22,14,-33,t-33,0.020948637276887894
22,15,-32,t-32,0.02092243917286396
22,16,-31,t-31,0.02090129256248474
22,17,-30,t-30,0.020887307822704315
22,18,-29,t-29,0.020882321521639824
22,19,-28,t-28,0.020883942022919655
22,20,-27,t-27,0.02088942565023899
22,21,-26,t-26,0.020896976813673973
22,22,-25,t-25,0.02090412750840187
22,23,-24,t-24,0.020907461643218994
22,24,-23,t-23,0.020905058830976486
22,25,-22,t-22,0.0208940040320158
22,26,-21,t-21,0.020876331254839897
22,27,-20,t-20,0.020855657756328583
22,28,-19,t-19,0.02084048092365265
22,29,-18,t-18,0.020835701376199722
22,30,-17,t-17,0.020844491198658943
22,31,-16,t-16,0.02086038514971733
22,32,-15,t-15,0.020879052579402924
22,33,-14,t-14,0.02089955471456051
22,34,-13,t-13,0.020922021940350533
22,35,-12,t-12,0.020944397896528244
22,36,-11,t-11,0.020966356620192528
22,37,-10,t-10,0.020984994247555733
22,38,-9,t-9,0.021000290289521217
22,39,-8,t-8,0.021015912294387817
22,40,-7,t-7,0.02103722281754017
22,41,-6,t-6,0.021066226065158844
22,42,-5,t-5,0.021106015890836716
22,43,-4,t-4,0.02115345560014248
22,44,-3,t-3,0.021205484867095947
22,45,-2,t-2,0.021259427070617676
22,46,-1,t-1,0.021312937140464783
22,47,0,t,0.021361878141760826
23,0,-47,t-47,0.01872486062347889
23,1,-46,t-46,0.019172992557287216
23,2,-45,t-45,0.019756324589252472
23,3,-44,t-44,0.020234882831573486
23,4,-43,t-43,0.02055319957435131
23,5,-42,t-42,0.020750535652041435
23,6,-41,t-41,0.020870625972747803
23,7,-40,t-40,0.020942270755767822
23,8,-39,t-39,0.020982807502150536
23,9,-38,t-38,0.021002264693379402
23,10,-37,t-37,0.021006988361477852
23,11,-36,t-36,0.021002255380153656
23,12,-35,t-35,0.020988570526242256
23,13,-34,t-34,0.02096872217953205
23,14,-33,t-33,0.02094460092484951
23,15,-32,t-32,0.020920423790812492
23,16,-31,t-31,0.020899279043078423
23,17,-30,t-30,0.020884975790977478
23,18,-29,t-29,0.020878056064248085
23,19,-28,t-28,0.020879779011011124
23,20,-27,t-27,0.020886778831481934
23,21,-26,t-26,0.020896151661872864
23,22,-25,t-25,0.020904256030917168
23,23,-24,t-24,0.020908741280436516
23,24,-23,t-23,0.020906440913677216
23,25,-22,t-22,0.020898066461086273
23,26,-21,t-21,0.02088390290737152
23,27,-20,t-20,0.020866969600319862
23,28,-19,t-19,0.02085222117602825
23,29,-18,t-18,0.02084525115787983
23,30,-17,t-17,0.02084808610379696
23,31,-16,t-16,0.020860524848103523
23,32,-15,t-15,0.020878395065665245
23,33,-14,t-14,0.020898787304759026
23,34,-13,t-13,0.020920144394040108
23,35,-12,t-12,0.020941779017448425
23,36,-11,t-11,0.02096094749867916
23,37,-10,t-10,0.020978868007659912
23,38,-9,t-9,0.02099570818245411
23,39,-8,t-8,0.02101309783756733
23,40,-7,t-7,0.02103489264845848
23,41,-6,t-6,0.02106443978846073
23,42,-5,t-5,0.02110183984041214
23,43,-4,t-4,0.0211486779153347
23,44,-3,t-3,0.02120227739214897
23,45,-2,t-2,0.021258652210235596
23,46,-1,t-1,0.021314244717359543
23,47,0,t,0.021365299820899963
24,0,-47,t-47,0.01872953213751316
24,1,-46,t-46,0.01917622983455658
24,2,-45,t-45,0.01976003125309944
24,3,-44,t-44,0.020239952951669693
24,4,-43,t-43,0.020560475066304207
24,5,-42,t-42,0.020757215097546577
24,6,-41,t-41,0.02087429352104664
24,7,-40,t-40,0.020941484719514847
24,8,-39,t-39,0.020979763939976692
24,9,-38,t-38,0.020997479557991028
24,10,-37,t-37,0.021000197157263756
24,11,-36,t-36,0.0209928248077631
24,12,-35,t-35,0.020977873355150223
24,13,-34,t-34,0.020957473665475845
24,14,-33,t-33,0.02093581110239029
24,15,-32,t-32,0.02091454714536667
24,16,-31,t-31,0.020896032452583313
24,17,-30,t-30,0.02088250406086445
24,18,-29,t-29,0.020875727757811546
24,19,-28,t-28,0.020875975489616394
24,20,-27,t-27,0.0208833497017622
24,21,-26,t-26,0.020893922075629234
24,22,-25,t-25,0.020903002470731735
24,23,-24,t-24,0.020907871425151825
24,24,-23,t-23,0.020906757563352585
24,25,-22,t-22,0.02089879848062992
24,26,-21,t-21,0.02088741771876812
24,27,-20,t-20,0.020873963832855225
24,28,-19,t-19,0.020863041281700134
24,29,-18,t-18,0.020856931805610657
24,30,-17,t-17,0.02085796371102333
24,31,-16,t-16,0.020865632221102715
24,32,-15,t-15,0.020880799740552902
24,33,-14,t-14,0.020899929106235504
24,34,-13,t-13,0.020920395851135254
24,35,-12,t-12,0.02094048634171486
24,36,-11,t-11,0.02095922641456127
24,37,-10,t-10,0.020975321531295776
24,38,-9,t-9,0.020992660894989967
24,39,-8,t-8,0.021011779084801674
24,40,-7,t-7,0.021035561338067055
24,41,-6,t-6,0.021065877750515938
24,42,-5,t-5,0.02110353112220764
24,43,-4,t-4,0.021148117259144783
24,44,-3,t-3,0.021201157942414284
24,45,-2,t-2,0.02125856652855873
24,46,-1,t-1,0.021315211430191994
24,47,0,t,0.021367231383919716
